Identifiant unique ,Données renseignées de l'AMAP ,,,,,"Commune, code commune INSEE",,Bassin de vie,,Zone d'emploi,,Coordonnées,,Autre,
id,amap,adresse,rue,code_postal,commune_renseignee,commune_corrigee,CODGEO,BV2022,LIBBV2022,ZE2020,LIBZE2020,latitude,longitude,doublon (1 si oui),Rq
id_393,"
La Chèvre Et Le Chou D'Yvette","133 Rue Marceau
91120
Palaiseau",133 Rue Marceau,CP_91120,Palaiseau,Palaiseau,CI_91477,BV_75056,Paris,ZE_1113,Saclay,"48,7039669","2,2244604",,
id_394,"
La Clé Du Sol","Au Bout De La Rue Louis Martin
77400
Thorigny-Sur-Marne",Au Bout De La Rue Louis Martin,CP_77400,Thorigny-Sur-Marne,Thorigny-sur-Marne,CI_77464,BV_75056,Paris,ZE_1106,Marne-la-Vallée,48.8935531,2.7108857,,
id_395,"
La Courgette Solidaire","28 Rue Romain Rolland
93260
Les Lilas",28 Rue Romain Rolland,CP_93260,Les Lilas,Les Lilas,CI_93045,BV_75056,Paris,ZE_1109,Paris,"48,8785224","2,4162506",,
id_396,"
La Farigoule","3 Place de l'Eglise
92260
Fontenay-aux-Roses",3 Place de l'Eglise,CP_92260,Fontenay-aux-Roses,Fontenay-aux-Roses,CI_92032,BV_75056,Paris,ZE_1109,Paris,"48,7906674","2,28978978",,
id_397,"
La Grange Aux Légumes","137 Rue Maximilien de Robespierre
93600
Aulnay-sous-Bois",137 Rue Maximilien de Robespierre,CP_93600,Aulnay-sous-Bois,Aulnay-sous-Bois,CI_93005,BV_75056,Paris,ZE_1112,Roissy,48.934231,2.499789,,
id_398,"
La Main Au Panier","9 Allée de la Citoyenneté
77127
Lieusaint",9 Allée de la Citoyenneté,CP_77127,Lieusaint,Lieusaint,CI_77251,BV_75056,Paris,ZE_1104,Evry,"48,617123","2,5398223",,
id_399,"
L'A Main Au Panier","Rue Charlot
93700
Drancy",Rue Charlot,CP_93700,Drancy,Drancy,CI_93029,BV_75056,Paris,ZE_1112,Roissy,"48,9151383","2,4588755",,
id_400,"
La Marmite Sauvage","15 Avenue du Bélvédère
93310
Le Pré-Saint-Gervais",15 Avenue du Bélvédère,CP_93310,Le Pré-Saint-Gervais,Le Pré-Saint-Gervais,CI_93061,BV_75056,Paris,ZE_1109,Paris,"48,8801665","2,4100869",,
id_401,"
La Sente Des P'Tits Légumes","30 Rue Alfred de Vigny
78960
Voisins-le-Bretonneux",30 Rue Alfred de Vigny,CP_78960,Voisins-le-Bretonneux,Voisins-le-Bretonneux,CI_78688,BV_75056,Paris,ZE_1115,Versailles-Saint-Quentin,"48,754961","2,0529746",,
id_402,La Terrasse Du T3,"14 Rue des Fougères
75020
Paris",14 Rue des Fougères,CP_75020,Paris,PARIS 20,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8727405","2,4106116",,
id_403,La Tomate Farceuse,"30 Rue Jacques Duclos
93600
Aulnay-sous-Bois",30 Rue Jacques Duclos,CP_93600,Aulnay-sous-Bois,Aulnay-sous-Bois,CI_93005,BV_75056,Paris,ZE_1112,Roissy,"48,943627","2,496697",,
id_404,"
Label De Champs","Allee des Noyers
77420
Champs-sur-Marne",Allee des Noyers,CP_77420,Champs-sur-Marne,Champs-sur-Marne,CI_77083,BV_75056,Paris,ZE_1106,Marne-la-Vallée,"48,8415144","2,6072556",,
id_405,"
L'Amap Au Panier","Avenue Roger Salengro Vers La Pointe De Chaville
92370
Chaville",Avenue Roger Salengro Vers La Pointe De Chaville,CP_92370,Chaville,Chaville,CI_92022,BV_75056,Paris,ZE_1109,Paris,48.8097948,2.1898209,,
id_406,"
L'Aneth","158 Avenue de Fontainebleau
77250
Moret-Loing-et-Orvanne",158 Avenue de Fontainebleau,CP_77250,Moret-Loing-et-Orvanne,Moret-Loing-et-Orvanne,CI_77316,BV_77316,Moret-Loing-et-Orvanne,ZE_1105,Fontainebleau-Nemours,"48,3778085","2,7858426",,
id_407,"
L'Art Du Champ","Allée Jean Tardieu
77760
Villiers-Sous-Grez",Allée Jean Tardieu,CP_77760,Villiers-Sous-Grez,Villiers-sous-Grez,CI_77520,BV_77333,Nemours,ZE_1105,Fontainebleau-Nemours,"48,316765","2,6480366",,
id_408,"
Le Bio Amap'Orte !","19 bis Boulevard Jean Monnet
94360
Bry-sur-Marne",19 bis Boulevard Jean Monnet,CP_94360,Bry-sur-Marne,Bry-sur-Marne,CI_94015,BV_75056,Paris,ZE_1109,Paris,"48,829325","2,530647",,
id_409,"
Le Bio-Mesnil","Place Du Forum
93150
Le Blanc-Mesnil",Place Du Forum,CP_93150,Le Blanc-Mesnil,Le Blanc-Mesnil,CI_93007,BV_75056,Paris,ZE_1112,Roissy,48.9385489,2.4631476,,
id_410,"
Le Champ De La Baleine","10 Rue Erard
75012
Paris",10 Rue Erard,CP_75012,Paris,PARIS 12,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8452402","2,384434",,
id_411,"
Le Clou De Girafe","Route de Barbeau
77133
Féricy",Route de Barbeau,CP_77133,Féricy,Féricy,CI_77179,BV_77186,Fontainebleau,ZE_1108,Melun,"48,4572981","2,792877",,
id_412,"
Le Cri Du Radis","59 Rue de la Solidarité
93100
Montreuil",59 Rue de la Solidarité,CP_93100,Montreuil,Montreuil,CI_93048,BV_75056,Paris,ZE_1109,Paris,"48,8530387","2,4429934",,
id_413,"
Le Haricot Biomagique","1 Rue Fleury
75018
Paris",1 Rue Fleury,CP_75018,Paris,PARIS 18,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,884294","2,3538553",,
id_414,"
Le Jardin De Paul","Rue de la Croix Saint Louis
77690
La Genevraye",Rue de la Croix Saint Louis,CP_77690,La Genevraye,La Genevraye,CI_77202,BV_77186,Fontainebleau,ZE_1105,Fontainebleau-Nemours,48.3220838,2.7470534,,
id_415,"
Le Jardin De Poissy","31 Avenue des Ursulines
78300
Poissy",31 Avenue des Ursulines,CP_78300,Poissy,Poissy,CI_78498,BV_75056,Paris,ZE_1114,Seine-Yvelinoise,"48,926561","2,039879",,
id_416,"
Le Jardiney","10 Avenue de la Porte de Montmartre
75018
Paris",10 Avenue de la Porte de Montmartre,CP_75018,Paris,PARIS 18,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8986355","2,3369914",,
id_417,"
Le Miam","Avenue Pierre Larousse
92240
Malakoff",Avenue Pierre Larousse,CP_92240,Malakoff,Malakoff,CI_92046,BV_75056,Paris,ZE_1109,Paris,"48,8234504","2,3028062",,
id_418,"
Le Monstrueux Du Marivel","52 Rue des Petits Bois
92370
Chaville",52 Rue des Petits Bois,CP_92370,Chaville,Chaville,CI_92022,BV_75056,Paris,ZE_1109,Paris,"48,8096941","2,1786739",,
id_419,"
Le Panier D'Argenteuil","Avenue Gabriel Peri
95100
Argenteuil",Avenue Gabriel Peri,CP_95100,Argenteuil,Argenteuil,CI_95018,BV_75056,Paris,ZE_1109,Paris,"48,9429839","2,2522908",,
id_420,"
Le Panier De Berthe","Av J-B Charcot
78380
Bougival",Av J-B Charcot,CP_78380,Bougival,Bougival,CI_78092,BV_75056,Paris,ZE_1115,Versailles-Saint-Quentin,48.8642975,2.1377696,,
id_421,"
Le Panier De Dam' Goele","Rue Abel Chenevat
77230
Dammartin-en-Goële",Rue Abel Chenevat,CP_77230,Dammartin-en-Goële,Dammartin-en-Goële,CI_77153,BV_77153,Dammartin-en-Goële,ZE_1112,Roissy,"49,0552423","2,6800816",,
id_422,Le Panier De La Colonie,"Place Aristide Briand
95100
Argenteuil",Place Aristide Briand,CP_95100,Argenteuil,Argenteuil,CI_95018,BV_75056,Paris,ZE_1109,Paris,"48,9488349","2,2570441",,
id_423,"
Le Panier De La Tour Penchée","Allée du Docteur Bourgeois
91150
Étampes",Allée du Docteur Bourgeois,CP_91150,Étampes,Étampes,CI_91223,BV_91223,Étampes,ZE_1103,Etampes,"48,432468","2,1479786",,
id_424,"
Le Panier Des Hameaux","78114
Magny-les-Hameaux",,CP_78114,Magny-les-Hameaux,Magny-les-Hameaux,CI_78356,BV_75056,Paris,ZE_1115,Versailles-Saint-Quentin,"48,724051","2,0839562",,
id_425,"
Le Panier Du Lavoir","Rue de Meaux
77515
Saint-Augustin",Rue de Meaux,CP_77515,Saint-Augustin,Saint-Augustin,CI_77400,BV_77131,Coulommiers,ZE_1102,Coulommiers,"48,7907599","3,0257449",,
id_426,"
Le Panier Saul'Idaire","2 Allee des Cornouillers
77176
Savigny-le-Temple",2 Allee des Cornouillers,CP_77176,Savigny-le-Temple,Savigny-le-Temple,CI_77445,BV_75056,Paris,ZE_1104,Evry,"48,6047524","2,5516018",,
id_427,"
Le Potager De La Fontaine","Place de la Fontaine
94800
Villejuif",Place de la Fontaine,CP_94800,Villejuif,Villejuif,CI_94076,BV_75056,Paris,ZE_1109,Paris,"48,79143555","2,365706667",,
id_428,Le Potager Des Sages Et Des Fous,"37 Rue Rouget De Lisle
93100
Montreuil",37 Rue Rouget De Lisle,CP_93100,Montreuil,Montreuil,CI_93048,BV_75056,Paris,ZE_1109,Paris,48.8623357,2.4412184,,
id_429,"
Le Potager Du Bois (Boissy)","Rue de Valenton
94470
Boissy-Saint-Léger",Rue de Valenton,CP_94470,Boissy-Saint-Léger,Boissy-Saint-Léger,CI_94004,BV_75056,Paris,ZE_1109,Paris,"48,7479771","2,5116903",,
id_430,"
Le Potager Du Bois (V. Le Bretonneux)","Maison Des Associations 37 Rue Du Plan De L' Eglise
78960
Voisins-Le-Bretonneux",Maison Des Associations 37 Rue Du Plan De L' Eglise,CP_78960,Voisins-Le-Bretonneux,Voisins-le-Bretonneux,CI_78688,BV_75056,Paris,ZE_1115,Versailles-Saint-Quentin,48.75793,2.05137,,
id_431,"
Le Pré De L'Epinoche","77510
Verdelot",,CP_77510,Verdelot,Verdelot,CI_77492,BV_77182,La Ferté-Gaucher,ZE_1102,Coulommiers,"48,8749814","3,3644461",,
id_432,"
Le Prévert","40 Rue d'Estienne d'Orves
93310
Le Pré-Saint-Gervais",40 Rue d'Estienne d'Orves,CP_93310,Le Pré-Saint-Gervais,Le Pré-Saint-Gervais,CI_93061,BV_75056,Paris,ZE_1109,Paris,"48,8858948","2,3999902",,
id_433,"
Le Ru De Marivel","2 Rue Lecointre
92310
Sèvres",2 Rue Lecointre,CP_92310,Sèvres,Sèvres,CI_92072,BV_75056,Paris,ZE_1109,Paris,"48,8235806","2,2125358",,
id_434,"
L'Échalote De Toulotte","Promenade de l'Ouest
77510
Rebais",Promenade de l'Ouest,CP_77510,Rebais,Rebais,CI_77385,BV_77131,Coulommiers,ZE_1102,Coulommiers,"48,8481744","3,23078",,
id_435,Légumes & Cie,"60 Rue Saint Antoine
93100
Montreuil",60 Rue Saint Antoine,CP_93100,Montreuil,Montreuil,CI_93048,BV_75056,Paris,ZE_1109,Paris,"48,86520705","2,458341614",,
id_436,"
Légumes Amap'Orte","92500
Rueil-Malmaison",,CP_92500,Rueil-Malmaison,Rueil-Malmaison,CI_92063,BV_75056,Paris,ZE_1109,Paris,"48,87778","2,1802832",,
id_437,"
L'Épi Curieux","8 bis Avenue des Murs du Parc
94300
Vincennes",8 bis Avenue des Murs du Parc,CP_94300,Vincennes,Vincennes,CI_94080,BV_75056,Paris,ZE_1109,Paris,"48,8466587","2,4537255",,
id_438,"
Les 4 Saisons","50, Rue André Maneyrol
92370
Chaville","50, Rue André Maneyrol",CP_92370,Chaville,Chaville,CI_92022,BV_75056,Paris,ZE_1109,Paris,48.8086915,2.1883487,,
id_439,"
Les Amaranthes","95510
Vienne-en-Arthies",,CP_95510,Vienne-en-Arthies,Vienne-en-Arthies,CI_95656,BV_78361,Mantes-la-Jolie,ZE_1101,Cergy-Vexin,"49,066114","1,7335397",,
id_440,"
Les Amis De La Ferme De Bagnolet","55 Rue Louise Michel
93170
Bagnolet",55 Rue Louise Michel,CP_93170,Bagnolet,Bagnolet,CI_93006,BV_75056,Paris,ZE_1109,Paris,"48,8738478","2,4307475",,
id_441,"
Les Biaux Arpajonnais","29 Rue Dauvilliers
91290
Arpajon",29 Rue Dauvilliers,CP_91290,Arpajon,Arpajon,CI_91021,BV_91021,Arpajon,ZE_1113,Saclay,"48,589703","2,251663",,
id_442,"
Les Bio Paniers De Mareil","Rue Des Bois-Noirs
78750
Mareil-Marly",Rue Des Bois-Noirs,CP_78750,Mareil-Marly,Mareil-Marly,CI_78367,BV_75056,Paris,ZE_1114,Seine-Yvelinoise,"48,8832295","2,0697914",,
id_443,"
Les Biopaniers De Médan","2 Rue Pasteur
78670
Médan",2 Rue Pasteur,CP_78670,Médan,Médan,CI_78384,BV_75056,Paris,ZE_1114,Seine-Yvelinoise,"48,9533677","1,9961572",,
id_444,"
Les Brunelles","21 bis Rue d'Armaillé
75017
Paris",21 bis Rue d'Armaillé,CP_75017,Paris,PARIS 17,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8784358","2,2912752",,
id_445,"
Les Cagettes De La Fayette","60 Rue la Fayette
75009
Paris",60 Rue la Fayette,CP_75009,Paris,PARIS 09,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8754534","2,3426804",,
id_446,Les Cagettes Larziacoises,"Pâté De Lardy
91510
Lardy",Pâté De Lardy,CP_91510,Lardy,Lardy,CI_91330,BV_91226,Étréchy,ZE_1103,Etampes,"48,5352332","2,2950053",,
id_447,Les Castors Bio,"13 Avenue Faidherbe
93100
Montreuil",13 Avenue Faidherbe,CP_93100,Montreuil,Montreuil,CI_93048,BV_75056,Paris,ZE_1109,Paris,"48,8655227","2,4422523",,
id_448,"
Les Champs Du Plaisir","2 Avenue des Jasmins
91280
Saint-Pierre-du-Perray",2 Avenue des Jasmins,CP_91280,Saint-Pierre-du-Perray,Saint-Pierre-du-Perray,CI_91573,BV_75056,Paris,ZE_1104,Evry,"48,6134821","2,5034342",,
id_449,"Les Châtaignes Bio
","1 ter Rue Lamartine
92290
Châtenay-Malabry",1 ter Rue Lamartine,CP_92290,Châtenay-Malabry,Châtenay-Malabry,CI_92019,BV_75056,Paris,ZE_1109,Paris,"48,761934","2,2619826",,
id_450,"
Les Coeurs D'Artichaud (Noisy)","Rue Condorcet
93130
Noisy-le-Sec",Rue Condorcet,CP_93130,Noisy-le-Sec,Noisy-le-Sec,CI_93053,BV_75056,Paris,ZE_1109,Paris,"48,8893358","2,45612",,
id_451,"
Les Colibris D'Andrésy","8, Rue Lepic
78570
Andresy","8, Rue Lepic",CP_78570,Andresy,Andrésy,CI_78015,BV_75056,Paris,ZE_1114,Seine-Yvelinoise,"48,9865385","2,0615121",,
id_452,"
Les Ecolibris Rive Gauche","6 Boulevard André Malraux Parking De La Mairie
78480
Verneuil-Sur-Seine",6 Boulevard André Malraux Parking De La Mairie,CP_78480,Verneuil-Sur-Seine,Verneuil-sur-Seine,CI_78642,BV_75056,Paris,ZE_1114,Seine-Yvelinoise,48.9809757,1.9726963,,
id_453,"
Les Fanes De Belleville","46 Rue des Rigoles
75020
Paris",46 Rue des Rigoles,CP_75020,Paris,PARIS 20,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8727335","2,3922769",,
id_454,"
Les Graines De Reuilly","115 Rue de Reuilly
75012
Paris",115 Rue de Reuilly,CP_75012,Paris,PARIS 12,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8417482","2,3935603",,
id_455,"
Les Jardins De Boicyfleur","2 Avenue Fritz Lang
78390
Bois-d'Arcy",2 Avenue Fritz Lang,CP_78390,Bois-d'Arcy,Bois-d'Arcy,CI_78073,BV_75056,Paris,ZE_1115,Versailles-Saint-Quentin,"48,800209","2,0106626",,
id_456,"
Les Jardins De Cérès - Amap","Place de la Mairie
91190
Villiers-le-Bâcle",Place de la Mairie,CP_91190,Villiers-le-Bâcle,Villiers-le-Bâcle,CI_91679,BV_75056,Paris,ZE_1113,Saclay,"48,725831","2,1260735",,
id_457,"
Les Jardins De Pecqueuse","Rue du Chemin Vert
91470
Pecqueuse",Rue du Chemin Vert,CP_91470,Pecqueuse,Pecqueuse,CI_91482,BV_91338,Limours,ZE_1113,Saclay,"48,6461226","2,0503376",,
id_458,"
Les Jardins Du Clos Fleuri","4 Rue Chateaubriand
78120
Rambouillet",4 Rue Chateaubriand,CP_78120,Rambouillet,Rambouillet,CI_78517,BV_78517,Rambouillet,ZE_1111,Rambouillet,"48,6368783","1,8304307",,
id_459,"
Les Lapereaux Des Thermopyles","5 Place Marcel Paul
75014
Paris",5 Place Marcel Paul,CP_75014,Paris,PARIS 14,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8339316","2,3194384",,
id_460,"
Les Oiseaux De Passage","16 Rue Anatole France
94270
Le Kremlin-Bicêtre",16 Rue Anatole France,CP_94270,Le Kremlin-Bicêtre,Le Kremlin-Bicêtre,CI_94043,BV_75056,Paris,ZE_1109,Paris,"48,808261","2,360054",,
id_461,"
Les Panais De Pontault","108 Avenue du Général de Gaulle
77340
Pontault-Combault",108 Avenue du Général de Gaulle,CP_77340,Pontault-Combault,Pontault-Combault,CI_77373,BV_75056,Paris,ZE_1106,Marne-la-Vallée,"48,802129","2,6128219",,
id_462,"
Les Paniers Bio Du Lys","Rue du Château Gaillard
77190
Dammarie-les-Lys",Rue du Château Gaillard,CP_77190,Dammarie-les-Lys,Dammarie-les-Lys,CI_77152,BV_77288,Melun,ZE_1108,Melun,"48,5130415","2,6204818",,
id_463,"
Les Paniers Briards","3 Rue de Pontmoulin
77120
Coulommiers",3 Rue de Pontmoulin,CP_77120,Coulommiers,Coulommiers,CI_77131,BV_77131,Coulommiers,ZE_1102,Coulommiers,"48,8147312","3,1016699",,
id_464,"
Les Paniers D'Aigremont","67 Grande Rue
78240
Aigremont",67 Grande Rue,CP_78240,Aigremont,Aigremont,CI_78007,BV_75056,Paris,ZE_1114,Seine-Yvelinoise,"48,9017942","2,0187666",,
id_465,Les Paniers D'Arcueil,"112 Rue Marius Sidobre
94110
Arcueil",112 Rue Marius Sidobre,CP_94110,Arcueil,Arcueil,CI_94003,BV_75056,Paris,ZE_1109,Paris,"48,80622","2,335812",,
id_466,"
Les Paniers D'Autrefois","1, Robert Husson
78320
Le Mesnil-Saint-Denis","1, Robert Husson",CP_78320,Le Mesnil-Saint-Denis,Le Mesnil-Saint-Denis,CI_78397,BV_75056,Paris,ZE_1115,Versailles-Saint-Quentin,48.7416202,1.9596593,,
id_467,"
Les Paniers De Boutigny","Route De Vincelles
77470
Boutigny",Route De Vincelles,CP_77470,Boutigny,Boutigny,CI_77049,BV_77284,Meaux,ZE_1107,Meaux,48.9209326,2.9296609,,
id_468,"
Les Paniers De Bussy","31 Bd Pierre Mendès France
77600
Bussy-Saint-Georges",31 Bd Pierre Mendès France,CP_77600,Bussy-Saint-Georges,Bussy-Saint-Georges,CI_77058,BV_75056,Paris,ZE_1106,Marne-la-Vallée,"48,8313373","2,7096296",,
id_469,"
Les Paniers De Chantereine","Rue du Marché
77177
Brou-sur-Chantereine",Rue du Marché,CP_77177,Brou-sur-Chantereine,Brou-sur-Chantereine,CI_77055,BV_75056,Paris,ZE_1106,Marne-la-Vallée,"48,8812434","2,6272613",,
id_470,"
Les Paniers De Châtenay","92290
Châtenay-Malabry",,CP_92290,Châtenay-Malabry,Châtenay-Malabry,CI_92019,BV_75056,Paris,ZE_1109,Paris,"48,7670404","2,2775316",,
id_471,"
Les Paniers De La Ferme","22 Rue du Couvent
77200
Torcy",22 Rue du Couvent,CP_77200,Torcy,Torcy,CI_77468,BV_75056,Paris,ZE_1106,Marne-la-Vallée,"48,8540168","2,6557029",,
id_472,"
Les Paniers De La Forêt","Rue Vignaud
92360
Meudon",Rue Vignaud,CP_92360,Meudon,Meudon,CI_92048,BV_75056,Paris,ZE_1109,Paris,"48,7883592","2,2320607",,
id_473,"
Les Paniers De La Guesle","1, Route Du Pont
78125
Raizeux","1, Route Du Pont",CP_78125,Raizeux,Raizeux,CI_78516,BV_28140,Épernon,ZE_1111,Rambouillet,48.6239504,1.6833444,,
id_474,"
Les Paniers De L'Ancoeur","48 Rue Grande
77720
Bombon",48 Rue Grande,CP_77720,Bombon,Bombon,CI_77044,BV_77327,Nangis,ZE_1108,Melun,"48,5724881","2,8583363",,
id_475,"
Les Paniers De L'Epi D'Or","Chemin Des Avenues (Parc Municipal Maurice Leluc)
78210
Saint-Cyr-L'Ecole",Chemin Des Avenues (Parc Municipal Maurice Leluc),CP_78210,Saint-Cyr-L'Ecole,Saint-Cyr-L'Ecole,CI_78545,BV_75056,Paris,ZE_1115,Versailles-Saint-Quentin,48.7930764,2.0632551,,
id_476,"
Les Paniers De Lésigny","Avenue du Château
77150
Lésigny",Avenue du Château,CP_77150,Lésigny,Lésigny,CI_77249,BV_75056,Paris,ZE_1106,Marne-la-Vallée,"48,7500161","2,6337414",,
id_477,"
Les Paniers De Longpont","19 Chemin des Douviéres
91310
Longpont-sur-Orge",19 Chemin des Douviéres,CP_91310,Longpont-sur-Orge,Longpont-sur-Orge,CI_91347,BV_75056,Paris,ZE_1113,Saclay,"48,6303924","2,2912469",,
id_478,"
Les Paniers De Morigny","Salle Des Jeunes Complexe Sportif Coulombel
91150
Morigny-Champigny",Salle Des Jeunes Complexe Sportif Coulombel,CP_91150,Morigny-Champigny,Morigny-Champigny,CI_91433,BV_91223,Étampes,ZE_1103,Etampes,48.4461337,2.1814129,,
id_479,"
Les Paniers De Noncienne","Rue du Mail
78830
Bonnelles",Rue du Mail,CP_78830,Bonnelles,Bonnelles,CI_78087,BV_91338,Limours,ZE_1111,Rambouillet,"48,6193195","2,0287878",,
id_480,"
Les Paniers De Pontoch'","383 Rue Grande Moulignon
77310
Saint-Fargeau-Ponthierry",383 Rue Grande Moulignon,CP_77310,Saint-Fargeau-Ponthierry,Saint-Fargeau-Ponthierry,CI_77407,BV_77407,Saint-Fargeau-Ponthierry,ZE_1108,Melun,48.5361215,2.5273471,,
id_481,"
Les Paniers De Saclas","6 bis Avenue Jean Jaurès
91690
Saclas",6 bis Avenue Jean Jaurès,CP_91690,Saclas,Saclas,CI_91533,BV_91223,Étampes,ZE_1103,Etampes,"48,3610559","2,1264276",,
id_482,"
Les Paniers Des Bordes","77 Rue de la République
93160
Noisy-le-Grand",77 Rue de la République,CP_93160,Noisy-le-Grand,Noisy-le-Grand,CI_93051,BV_75056,Paris,ZE_1109,Paris,"48,84728","2,563916",,
id_483,"
Les Paniers D'Evry","Place du Général de Gaulle
91000
Évry-Courcouronnes",Place du Général de Gaulle,CP_91000,Évry-Courcouronnes,Évry-Courcouronnes,CI_91228,BV_75056,Paris,ZE_1104,Evry,"48,6357809","2,446761",,
id_484,"
Les Paniers Du Bois Dais","Rue Pierre Wacquant
92190
Meudon",Rue Pierre Wacquant,CP_92190,Meudon,Meudon,CI_92048,BV_75056,Paris,ZE_1109,Paris,"48,8201591","2,2287751",,
id_485,"
Les Paniers Du Lunain","Rue de la Mairie (Villemaréchal)
77710
Villemaréchal",Rue de la Mairie (Villemaréchal),CP_77710,Villemaréchal,Villemaréchal,CI_77504,BV_77333,Nemours,ZE_1105,Fontainebleau-Nemours,"48,2672289","2,8678072",,
id_486,"
Les Paniers Du Potager","Rue De L'École
91090
Evry",Rue De L'École,CP_91090,Evry,Évry-Courcouronnes,CI_91228,BV_75056,Paris,ZE_1104,Evry,"48,6186892","2,4324053",,
id_487,"
Les Paniers Verts Du Perreux","34 Avenue Georges Clémenceau
94170
Le Perreux-sur-Marne",34 Avenue Georges Clémenceau,CP_94170,Le Perreux-sur-Marne,Le Perreux-sur-Marne,CI_94058,BV_75056,Paris,ZE_1109,Paris,"48,838477","2,506266",,
id_488,"
Les Papilles Vertes","Rue de la Grande Garenne
77130
Varennes-sur-Seine",Rue de la Grande Garenne,CP_77130,Varennes-sur-Seine,Varennes-sur-Seine,CI_77482,BV_77305,Montereau-Fault-Yonne,ZE_1105,Fontainebleau-Nemours,"48,3747853","2,9428963",,
id_489,"
Les Pâtissons Du Montois","La Halle
77520
Donnemarie-Dontilly",La Halle,CP_77520,Donnemarie-Dontilly,Donnemarie-Dontilly,CI_77159,BV_77327,Nangis,ZE_1110,Provins,48.4784615,3.1329223,,
id_490,"
Les Pépins Punk","49 Rue de Paris
93230
Romainville",49 Rue de Paris,CP_93230,Romainville,Romainville,CI_93063,BV_75056,Paris,ZE_1109,Paris,"48,8839226","2,4334832",,
id_491,"
Les Potirons","Allee de l'Ancien Lavoir
78720
Cernay-la-Ville",Allee de l'Ancien Lavoir,CP_78720,Cernay-la-Ville,Cernay-la-Ville,CI_78128,BV_91338,Limours,ZE_1111,Rambouillet,"48,6721091","1,9731804",,
id_492,"
Les Pot'Iront","1 Allée André Benoist
77410
Claye-Souilly",1 Allée André Benoist,CP_77410,Claye-Souilly,Claye-Souilly,CI_77118,BV_77118,Claye-Souilly,ZE_1112,Roissy,"48,9469427","2,6876774",,
id_493,"
Les Près D'Chez Vous","Chemin De La Pléiade Rue Jules Michelet
78280
Guyancourt",Chemin De La Pléiade Rue Jules Michelet,CP_78280,Guyancourt,Guyancourt,CI_78297,BV_75056,Paris,ZE_1115,Versailles-Saint-Quentin,48.76789,2.0698924,,
id_494,"
Les P'Tits Paniers De Groslay","Rue Warocquier
95410
Groslay",Rue Warocquier,CP_95410,Groslay,Groslay,CI_95288,BV_75056,Paris,ZE_1112,Roissy,"48,9879723","2,3495851",,
id_495,"
Les P'Tits Paniers De Montmorency","7 Rue Saint Valery
95160
Montmorency",7 Rue Saint Valery,CP_95160,Montmorency,Montmorency,CI_95428,BV_75056,Paris,ZE_1112,Roissy,"48,985193","2,3231471",,
id_496,"
Les Radis En Éventail","Rue Fratacci
92170
Vanves",Rue Fratacci,CP_92170,Vanves,Vanves,CI_92075,BV_75056,Paris,ZE_1109,Paris,"48,8216879","2,2870618",,
id_497,"
Les Sapouss'","10 Rue de Concy
91330
Yerres",10 Rue de Concy,CP_91330,Yerres,Yerres,CI_91691,BV_75056,Paris,ZE_1104,Evry,"48,7090634","2,4837974",,
id_498,"
Les Verts De Terre","7 Rue Jean Moulin
77200
Torcy",7 Rue Jean Moulin,CP_77200,Torcy,Torcy,CI_77468,BV_75056,Paris,ZE_1106,Marne-la-Vallée,"48,7793884","2,6788184",,
id_499,Let It Blettes,"Passage Du Marché
92340
Bourg-La-Reine",Passage Du Marché,CP_92340,Bourg-La-Reine,Bourg-la-Reine,CI_92014,BV_75056,Paris,ZE_1109,Paris,"48,7807899","2,3143683",,
id_500,"
L'Olivier","77560
Augers-en-Brie",,CP_77560,Augers-en-Brie,Augers-en-Brie,CI_77012,BV_77182,La Ferté-Gaucher,ZE_1110,Provins,"48,6794001","3,3563008",,
id_501,"
Massy Manger Bio","Rue Normandie Niémen
91300
Massy",Rue Normandie Niémen,CP_91300,Massy,Massy,CI_91377,BV_75056,Paris,ZE_1113,Saclay,"48,7290222","2,275138",,
id_502,"
Ménilsème","4 Rue d'Annam
75020
Paris",4 Rue d'Annam,CP_75020,Paris,PARIS 20,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8661224","2,3941874",,
id_503,Miam 14,"12 Rue du Moulin des Lapins
75014
Paris",12 Rue du Moulin des Lapins,CP_75014,Paris,PARIS 14,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,8342579","2,3208654",,
id_504,"
Miam'Ap","1 Rue de Saint-val
91720
Boigneville",1 Rue de Saint-val,CP_91720,Boigneville,Boigneville,CI_91069,BV_45191,Le Malesherbois,ZE_1104,Evry,"48,3402247","2,3778668",,
id_505,Moulin Des Lapins,"Place de la Garenne
75014
Paris",Place de la Garenne,CP_75014,Paris,PARIS 14,CI_75056,BV_75056,Paris,ZE_1109,Paris,"48,83363665","2,320080526",,
